"gpu", "method","size","threads","blocks","max_value", "time"
1050ti,radix,10,16,16,-1,0.476160
1050ti,radix,100,16,16,-1,0.471040
1050ti,radix,1000,16,16,-1,0.498688
1050ti,radix,10000,16,16,-1,0.738304
1050ti,radix,100000,16,16,-1,3.056448
1050ti,radix,1000000,16,16,-1,30.787329
1050ti,radix,10000000,16,16,-1,430.279083
1050ti,radix,100000000,16,16,-1,4103.908203
1050ti,radix,10,32,8,-1,0.433152
1050ti,radix,100,32,8,-1,0.435040
1050ti,radix,1000,32,8,-1,0.456640
1050ti,radix,10000,32,8,-1,0.683008
1050ti,radix,100000,32,8,-1,2.982208
1050ti,radix,1000000,32,8,-1,27.515137
1050ti,radix,10000000,32,8,-1,393.262421
1050ti,radix,100000000,32,8,-1,4298.740723
1050ti,radix,10,64,16,-1,0.428032
1050ti,radix,100,64,16,-1,0.430080
1050ti,radix,1000,64,16,-1,0.450560
1050ti,radix,10000,64,16,-1,0.738304
1050ti,radix,100000,64,16,-1,2.826976
1050ti,radix,1000000,64,16,-1,23.825312
1050ti,radix,10000000,64,16,-1,383.018738
1050ti,radix,100000000,64,16,-1,3719.595459
1050ti,radix,10,128,8,-1,0.427008
1050ti,radix,100,128,8,-1,0.436224
1050ti,radix,1000,128,8,-1,0.451392
1050ti,radix,10000,128,8,-1,0.953344
1050ti,radix,100000,128,8,-1,2.691872
1050ti,radix,1000000,128,8,-1,26.170113
1050ti,radix,10000000,128,8,-1,382.972443
1050ti,radix,100000000,128,8,-1,3788.296387
1050ti,radix,10,128,96,-1,0.441344
1050ti,radix,100,128,96,-1,0.459776
1050ti,radix,1000,128,96,-1,0.488448
1050ti,radix,10000,128,96,-1,0.678912
1050ti,radix,100000,128,96,-1,2.831168
1050ti,radix,1000000,128,96,-1,23.620768
1050ti,radix,10000000,128,96,-1,341.149963
1050ti,radix,100000000,128,96,-1,3874.687012
1050ti,radix,10,128,192,-1,0.502656
1050ti,radix,100,128,192,-1,0.500736
1050ti,radix,1000,128,192,-1,0.530432
1050ti,radix,10000,128,192,-1,0.737120
1050ti,radix,100000,128,192,-1,2.842944
1050ti,radix,1000000,128,192,-1,22.792992
1050ti,radix,10000000,128,192,-1,346.145477
1050ti,radix,100000000,128,192,-1,3762.250244
1050ti,radix,10,256,1,-1,1.954816
1050ti,radix,100,256,1,-1,0.473888
1050ti,radix,1000,256,1,-1,0.492544
1050ti,radix,10000,256,1,-1,0.701440
1050ti,radix,100000,256,1,-1,3.048480
1050ti,radix,1000000,256,1,-1,29.199327
1050ti,radix,10000000,256,1,-1,399.463013
1050ti,radix,100000000,256,1,-1,4198.492676
1050ti,radix,10,256,4,-1,0.430080
1050ti,radix,100,256,4,-1,0.429056
1050ti,radix,1000,256,4,-1,0.446240
1050ti,radix,10000,256,4,-1,0.653312
1050ti,radix,100000,256,4,-1,2.713216
1050ti,radix,1000000,256,4,-1,23.941216
1050ti,radix,10000000,256,4,-1,359.014893
1050ti,radix,100000000,256,4,-1,3881.293945
1050ti,radix,10,1024,1,-1,0.426752
1050ti,radix,100,1024,1,-1,0.434176
1050ti,radix,1000,1024,1,-1,0.449536
1050ti,radix,10000,1024,1,-1,0.668544
1050ti,radix,100000,1024,1,-1,2.859712
1050ti,radix,1000000,1024,1,-1,25.142944
1050ti,radix,10000000,1024,1,-1,363.764374
1050ti,radix,100000000,1024,1,-1,3994.751221
1050ti,radix,10,1024,4,-1,0.432128
1050ti,radix,100,1024,4,-1,0.431104
1050ti,radix,1000,1024,4,-1,0.458752
1050ti,radix,10000,1024,4,-1,0.656256
1050ti,radix,100000,1024,4,-1,2.772192
1050ti,radix,1000000,1024,4,-1,25.017729
1050ti,radix,10000000,1024,4,-1,352.664978
1050ti,radix,100000000,1024,4,-1,3889.952637
1050ti,counting,10,16,16,2,0.088832
1050ti,counting,10,16,16,16,0.120448
